item_Name,slot_Size
https://dayz.fandom.com/wiki/Apple,1
https://dayz.fandom.com/wiki/Banana,2
https://dayz.fandom.com/wiki/Bear_Steak,4
https://dayz.fandom.com/wiki/Bitterlings,2
https://dayz.fandom.com/wiki/Boar_Steak,2
https://dayz.fandom.com/wiki/Brisket_Spread,1
https://dayz.fandom.com/wiki/Canned_Bacon,4
https://dayz.fandom.com/wiki/Canned_Baked_Beans,4
https://dayz.fandom.com/wiki/Canned_Peaches,4
https://dayz.fandom.com/wiki/Canned_Pork,2
https://dayz.fandom.com/wiki/Canned_Sardines,2
https://dayz.fandom.com/wiki/Canned_Spaghetti,4
https://dayz.fandom.com/wiki/Canned_Tuna,2
https://dayz.fandom.com/wiki/Carp,6
https://dayz.fandom.com/wiki/Carp_Fillet,3
https://dayz.fandom.com/wiki/Cat_Food_Can,2
https://dayz.fandom.com/wiki/Cereals,9
https://dayz.fandom.com/wiki/Chicken_Steak,2
https://dayz.fandom.com/wiki/Chips,4
https://dayz.fandom.com/wiki/Cow_Steak,4
https://dayz.fandom.com/wiki/Crackers,4
https://dayz.fandom.com/wiki/Dog_Food_Can,2
https://dayz.fandom.com/wiki/Earthworm,1
https://dayz.fandom.com/wiki/Elderberries,1
https://dayz.fandom.com/wiki/Fat,4
https://dayz.fandom.com/wiki/Field_Mushroom,2
https://dayz.fandom.com/wiki/Fly_Amanita,2
https://dayz.fandom.com/wiki/Glass_Bottle,3
https://dayz.fandom.com/wiki/Goat_Steak,2
https://dayz.fandom.com/wiki/Guts,6
https://dayz.fandom.com/wiki/Hare_Leg,2
https://dayz.fandom.com/wiki/Honey,4
https://dayz.fandom.com/wiki/Human_Steak,3
https://dayz.fandom.com/wiki/Kiwi,1
https://dayz.fandom.com/wiki/Liberty_Cap,1
https://dayz.fandom.com/wiki/Liver_Pate,1
https://dayz.fandom.com/wiki/Lunchmeat,2
https://dayz.fandom.com/wiki/Mackerel,8
https://dayz.fandom.com/wiki/Mackerel_Fillet,3
https://dayz.fandom.com/wiki/Mouflon_Steak,2
https://dayz.fandom.com/wiki/Orange,1
https://dayz.fandom.com/wiki/Oyster_Mushroom,2
https://dayz.fandom.com/wiki/Parasol_Mushroom,2
https://dayz.fandom.com/wiki/Pear,2
https://dayz.fandom.com/wiki/Penny_Bun,2
https://dayz.fandom.com/wiki/Pepper,2
https://dayz.fandom.com/wiki/Pig_Steak,2
https://dayz.fandom.com/wiki/Plum,1
https://dayz.fandom.com/wiki/Potato,2
https://dayz.fandom.com/wiki/Powdered_Milk,2
https://dayz.fandom.com/wiki/Pumpkin,9
https://dayz.fandom.com/wiki/Pumpkin_Slices,6
https://dayz.fandom.com/wiki/P%C3%A1jka,1
https://dayz.fandom.com/wiki/Red_Pine_Mushroom,2
https://dayz.fandom.com/wiki/Rice,6
https://dayz.fandom.com/wiki/Rose_Hips,1
https://dayz.fandom.com/wiki/Salty_Sticks,4
https://dayz.fandom.com/wiki/Sardines,2
https://dayz.fandom.com/wiki/Sheep_Steak,2
https://dayz.fandom.com/wiki/Small_Guts,2
https://dayz.fandom.com/wiki/Strawberry_Jam,4
https://dayz.fandom.com/wiki/Tomato,1
https://dayz.fandom.com/wiki/Unknown_Food_Can,4
https://dayz.fandom.com/wiki/Venison_Steak,2
https://dayz.fandom.com/wiki/Wolf_Steak,2
https://dayz.fandom.com/wiki/Wood_Ear,2
https://dayz.fandom.com/wiki/Zagorky,2
https://dayz.fandom.com/wiki/Zagorky_Chocolate,2
https://dayz.fandom.com/wiki/Zagorky_Peanuts,2
https://dayz.fandom.com/wiki/Zucchini,3
