item_Name,slot_Size
https://dayz.fandom.com/wiki/9V_Battery,1
https://dayz.fandom.com/wiki/Alarm_Clock,4
https://dayz.fandom.com/wiki/Barbed_Wire,8
https://dayz.fandom.com/wiki/Battery_Charger,9
https://dayz.fandom.com/wiki/Binoculars,4
https://dayz.fandom.com/wiki/Bone_Knife,2
https://dayz.fandom.com/wiki/Can_Opener,2
https://dayz.fandom.com/wiki/Canteen,4
https://dayz.fandom.com/wiki/Combination_Lock,9
https://dayz.fandom.com/wiki/Compass,2
https://dayz.fandom.com/wiki/Field_Transceiver,25
https://dayz.fandom.com/wiki/Fireworks_Launcher,16
https://dayz.fandom.com/wiki/Hand_Drill_Kit,4
https://dayz.fandom.com/wiki/Handcuff_Keys,1
https://dayz.fandom.com/wiki/Handcuffs,2
https://dayz.fandom.com/wiki/Handheld_Transceiver,3
https://dayz.fandom.com/wiki/Jerrycan,30
https://dayz.fandom.com/wiki/Kitchen_Timer,1
https://dayz.fandom.com/wiki/Leather_Bottle,8
https://dayz.fandom.com/wiki/Matches,1
https://dayz.fandom.com/wiki/Megaphone,12
https://dayz.fandom.com/wiki/Metal_Wire,6
https://dayz.fandom.com/wiki/Nails,1
https://dayz.fandom.com/wiki/Netting,6
https://dayz.fandom.com/wiki/Orienteering_Compass,2
https://dayz.fandom.com/wiki/Paper,1
https://dayz.fandom.com/wiki/Petrol_Lighter,1
https://dayz.fandom.com/wiki/Plastic_Bottle,3
https://dayz.fandom.com/wiki/Rangefinder,2
https://dayz.fandom.com/wiki/Rope,3
https://dayz.fandom.com/wiki/Sheet_Metal,100
https://dayz.fandom.com/wiki/Stone_Knife,2
https://dayz.fandom.com/wiki/Tourist_Map,2
https://dayz.fandom.com/wiki/Truck_Battery,15
